dataset_id,year,territory,sex,age,age_group,population,source,notes
population_current_istat,2019,Bergamo,Male,11,0-14,5869,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,12,0-14,6049,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,13,0-14,5868,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,14,0-14,5816,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,15,15-24,5868,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,16,15-24,5846,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,17,15-24,5927,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,18,15-24,5946,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,19,15-24,5849,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,20,15-24,6102,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,21,15-24,6035,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,22,15-24,5693,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,23,15-24,5655,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,24,15-24,5610,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,25,25-34,5653,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,26,25-34,5846,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,27,25-34,5738,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,28,25-34,5887,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,29,25-34,5747,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,30,25-34,6100,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,31,25-34,5965,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,32,25-34,5903,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,33,25-34,6099,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,34,25-34,6436,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,35,35-64,6467,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,36,35-64,6784,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,37,35-64,6981,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,38,35-64,7127,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,39,35-64,7222,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,40,35-64,7990,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,41,35-64,7999,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,42,35-64,8492,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,43,35-64,9008,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,44,35-64,9305,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,45,35-64,9183,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,46,35-64,9424,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,47,35-64,9195,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,48,35-64,9407,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,49,35-64,9458,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,50,35-64,9453,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,51,35-64,9297,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,52,35-64,9731,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,53,35-64,9619,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,54,35-64,9724,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,55,35-64,8822,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,56,35-64,8336,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,57,35-64,7931,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,58,35-64,7895,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,59,35-64,7617,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,60,35-64,7342,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,61,35-64,6846,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,62,35-64,6706,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,63,35-64,6519,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,64,35-64,6452,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,65,65+,6272,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,66,65+,6062,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,67,65+,5903,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,68,65+,6390,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,69,65+,6285,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,70,65+,6117,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,71,65+,5720,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,72,65+,5865,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,73,65+,4312,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
