dataset_id,indicator_id,academic_year,academic_year_start,academic_year_end,university_area,sex,first_year_enrolments,unit,source,notes
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Bergamo,Total,3954,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Altro Italia,Female,299501,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Altro Italia,Male,242488,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Altro Italia,Total,541989,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Altro Lombardia,Female,26758,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Altro Lombardia,Male,23249,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Altro Lombardia,Total,50007,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Bergamo,Female,2657,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Bergamo,Male,1623,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2018/2019,2018,2019,Bergamo,Total,4280,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Altro Italia,Female,313513,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Altro Italia,Male,254677,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Altro Italia,Total,568190,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Altro Lombardia,Female,28731,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Altro Lombardia,Male,24546,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Altro Lombardia,Total,53277,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Bergamo,Female,3418,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Bergamo,Male,1985,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2019/2020,2019,2020,Bergamo,Total,5403,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Altro Italia,Female,339981,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Altro Italia,Male,274128,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Altro Italia,Total,614109,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Altro Lombardia,Female,30649,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Altro Lombardia,Male,25383,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Altro Lombardia,Total,56032,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Bergamo,Female,2150,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Bergamo,Male,1375,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2020/2021,2020,2021,Bergamo,Total,3525,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Altro Italia,Female,332616,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Altro Italia,Male,268788,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Altro Italia,Total,601404,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Altro Lombardia,Female,31140,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Altro Lombardia,Male,26299,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Altro Lombardia,Total,57439,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Bergamo,Female,2400,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
